i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
25,51200,45.85420896875716,72.34320236399533,0,101.07820781249998,6,5,6,5,252,6,5,-1.2706813913249648
25,51200,40.40200474410085,23.68064852198586,0,239.03749999999997,34,33,3,3,0,0,0,-3.320658388652681
25,51200,45.10918552130461,70.46749337613582,0,105.5,9,8,2,1,250,5,4,-1.3566717226458684
25,51200,37.34701077773934,23.674543388187885,4,123.48711249999998,19,19,5,5,0,1,0,-3.6679988163313895
26,53248,51.206609202820935,62.072451632428034,1,95.2,1,0,2,1,178,2,1,-1.01599443728023
26,53248,54.88694104917195,70.47737308074625,9,100.03083993749999,5,4,7,6,196,2,1,-1.4512773422012049
26,53248,54.010864631051106,69.4385267597027,5,87.47257774999997,3,2,7,6,189,2,1,-1.272055897492772
26,53248,43.10410486650653,37.453750598069746,7,159.87180662403122,22,21,10,10,0,0,0,-3.8512516184959233
26,53248,43.52008808054961,26.995075221930165,2,140.17066953124996,22,21,7,7,0,2,5,-2.729639851478491
27,55296,56.521927210269496,64.43707542930497,5,155,7,6,1,1,0,0,0,-4.4819127351944275
27,55296,36.981755125452764,36.1379278532695,63,177.77524999999997,11,10,4,3,0,0,0,-6.016185198266226
27,55296,54.57535040101059,64.9406849402889,18,117.75932326562499,11,10,7,6,247,3,2,-2.0494175138173945
27,55296,50.70074887379356,65.38446231560718,3,108.65137499999997,4,3,4,3,207,2,1,-1.5563986743626739
27,55296,53.09210297495581,65.89381399606992,6,91.57571874999998,3,2,5,4,197,3,2,-1.3437797100246187
28,57344,52.831264890846796,69.37543308013119,112,110,6,5,1,0,0,0,0,-6.457336966282392
28,57344,53.98596531304065,73.60558268264867,140,97.39999999999999,7,6,2,1,0,0,0,-7.268318642726559
28,57344,63.78157178942974,73.97811144399337,54,69.28441209374998,3,2,7,6,156,2,1,-3.2214653724697175
28,57344,57.31205284431741,69.62043516910992,60,76.88,4,3,3,2,182,1,0,-3.462972038286242
28,57344,50.14583049912234,58.04741356369792,35,136.23799999999997,5,4,4,3,196,1,0,-2.973595176231602
29,59392,51.66167902146898,56.8310023217303,1,104.2,3,2,2,1,164,1,0,-1.3047198354258847
29,59392,47.08890702524876,29.646964871842936,2,184.36249999999998,24,23,3,2,221,2,2,-1.9884713144893467
29,59392,58.547632409141244,80.19553483652241,2,61.30812499999999,4,3,4,4,173,2,1,-0.788153827473602
29,59392,47.77046747707032,37.47172053601291,0,116.06200499999997,6,5,6,5,185,1,4,-2.0203042585834425
29,59392,50.99512486340245,77.05235752509907,143,79.71249999999999,2,1,3,2,0,0,0,-7.325790851501911
30,61440,51.152651347950396,61.3801779335036,0,93,5,4,1,0,153,1,0,-1.1053619600298037
30,61440,51.07168222515328,63.98095602115381,15,102.69999999999999,3,2,2,1,206,2,1,-1.5981555095491162
30,61440,53.0560780535726,64.29218878859983,27,104.07868019687497,4,3,8,7,170,1,0,-2.597453935623298
30,61440,51.363829287840296,49.63563005657085,4,136.93219031249998,13,12,6,5,193,2,3,-1.6178458688021964
30,61440,51.809347220505884,62.618911915529544,25,95.908,6,5,4,3,171,1,0,-2.310340964114557
31,63488,51.53436761808722,59.47532273624858,0,87,6,5,1,0,146,2,1,-0.7658835762066596
31,63488,45.513773993102475,35.51160816603632,0,140.84556772109374,17,17,8,7,201,2,2,-1.8795523684688784
31,63488,52.16685310719116,61.02681640161281,5,115.25,10,9,2,1,209,3,2,-1.5063255384332181
31,63488,50.60440428594855,48.25042055093031,6,130.52079142179684,11,10,9,8,187,2,2,-1.4795005784329498
31,63488,53.07734243118961,65.70155185889143,39,99.69018750000001,4,3,5,4,181,3,2,-2.82644041982303
32,65536,50.56486164352724,59.03166515663976,35,91.2055,2,1,4,3,168,2,1,-2.4762924441124037
32,65536,52.99605792844212,60.31349706691462,12,79.72287499999999,4,3,4,3,143,2,1,-1.5172412102463948
32,65536,57.063734395511496,77.06117715756848,0,63.1605,1,0,4,3,159,1,1,-0.3294510675990491
32,65536,49.51792405250203,54.72165655800562,5,137.35083684374996,10,9,7,6,237,3,2,-1.6782821983131788
32,65536,55.96722786952006,63.30530362595853,0,76.94,4,3,3,2,152,2,1,-0.8304016235866593
33,67584,50.36068173746268,60.59781223916078,5,111.18015445148434,5,4,9,8,186,2,1,-1.4550228412254582
33,67584,51.63576108974647,64.80127635993351,7,95.9012375,5,4,5,4,181,3,2,-1.264379264418629
33,67584,51.536364111454546,62.04899582197937,13,110.66336126953124,4,3,8,7,238,2,1,-1.3971290310930482
33,67584,46.78446072402425,55.19174146051494,29,110.53159219140623,5,4,8,7,191,2,1,-2.768999097499454
33,67584,50.14656266184891,60.2136481071816,0,84.14999999999999,2,1,2,1,147,1,0,-0.7616670139740583
34,69632,51.09831065124607,71.7506420630846,16,74.46050000000001,3,2,4,3,161,3,2,-1.2779440913973987
34,69632,44.91326739410246,48.24783136173496,12,119.54183124999997,8,7,5,4,254,3,2,-2.1718938454664767
34,69632,54.16174040743585,65.31738009546282,6,88.54618357812498,3,2,7,6,169,2,1,-1.1006209511068346
34,69632,48.06846148304401,42.42500871299736,4,186.15973462499997,17,16,7,7,248,2,1,-2.443857884083794
34,69632,41.97068410285283,45.14929389406461,1,157.16354675132808,11,10,9,9,0,0,0,-3.3765085778215473
35,71680,50.51686694888875,56.21557729968498,26,108.3,2,1,2,1,172,1,0,-2.3846002361984073
35,71680,51.22713340970222,59.41740885609761,72,101.14999999999999,12,11,2,1,0,0,1,-4.3023738250331744
