i,Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
21,43008,73.19283147758625,92.01930053135816,0,54.099999999999994,1,0,2,1,94,1,0,0.6928046931580244
21,43008,70.67942507565022,92.37190001473135,0,51.39249999999999,1,0,3,2,98,1,0,0.6153487654825799
21,43008,71.92778544327648,92.3750721955115,0,58,1,0,1,0,97,1,0,0.6367602202930891
22,45056,71.55221736301546,91.64947232474451,0,51.489999999999995,1,0,3,2,92,1,0,0.6908333816623222
22,45056,71.53030911858163,90.9809514377894,0,51.72287499999999,1,0,4,3,89,1,0,0.6518075961136856
22,45056,69.22197288579561,90.89157357811928,0,55.1,1,0,2,1,88,1,0,0.6686889935464978
22,45056,70.82173463371065,91.11111111111111,0,55.25,1,0,2,1,90,1,0,0.6790920984349674
22,45056,71.3486994881379,91.57894736842105,0,56.099999999999994,1,0,2,1,95,1,0,0.7073191268158696
23,47104,73.72442737899043,89.6103896103896,0,51,1,0,1,0,77,1,0,1.160101805898572
23,47104,72.83648909835875,85.46215774420696,0,50.295,1,0,3,2,79,1,0,0.6113589341256166
23,47104,71.42143443406346,85.32952269516795,0,56,1,0,1,0,83,1,0,0.820008111514636
23,47104,71.13313935268884,91.89285081008384,0,51.099999999999994,1,0,2,1,87,1,0,0.7932902081915221
23,47104,72.04167652461264,92.21227943483326,0,51.15,1,0,2,1,90,1,0,0.79048751383581
24,49152,69.39057204458449,91.38688335816066,0,54,1,0,1,0,90,1,0,0.7508984231769504
24,49152,71.55478521353669,91.41242954466078,0,51.294999999999995,1,0,3,2,90,1,0,0.8344257427962879
24,49152,71.53039320331553,91.69728344549303,0,51.24999999999999,1,0,2,1,92,1,0,0.7542271322725382
24,49152,72.8333361281289,91.59372303220961,0,52.3925,1,0,3,2,90,1,0,0.6674881600372787
24,49152,69.54156998749617,91.60954713166414,0,52.15,1,0,2,1,91,1,0,0.720353554531636
25,51200,71.59765627363632,91.64767292724258,0,48.72287499999999,1,0,4,3,87,1,0,0.7263199596036641
25,51200,70.23527283341654,91.9690074779654,0,51.15,1,0,2,1,93,1,0,0.799243681354573
25,51200,71.2998201665671,91.85868942219278,0,55.295,1,0,3,2,92,1,0,0.5854026184218266
25,51200,70.14359887475256,91.50763006731012,0,48.099999999999994,1,0,2,1,87,1,0,1.0841498866462238
25,51200,70.10506382961383,91.56432806075304,0,49.29499999999999,1,0,3,2,87,1,0,0.8510845591853025
26,53248,70.15879796920242,91.91339962430052,0,50.295,1,0,3,2,91,1,0,0.7034843858779068
26,53248,73.1090135305472,90.82196761408578,0,51.96299999999999,1,0,4,3,92,1,0,0.36694481180571137
26,53248,70.10117540756862,91.8085879418585,0,51.294999999999995,1,0,3,2,90,1,0,0.6971075045771093
26,53248,71.0598932278733,90.78234209008114,0,53.970375,1,0,4,3,93,1,0,0.3706029695431427
26,53248,73.03406313547622,92.12417038886443,0,49.489999999999995,1,0,3,2,92,1,0,0.629974273292681
27,55296,71.42505448149598,91.9933608368687,0,50.684999999999995,1,0,3,2,92,1,0,0.5742275687069666
27,55296,71.22245484164783,91.96846432738252,0,52.629894687499984,1,0,6,5,91,1,0,0.4607967124695718
27,55296,75.15799370343967,92.1412096549106,0,53.73667062499999,1,0,6,5,93,1,0,0.21698975105827
27,55296,69.88598959099862,91.39784946236558,0,55.295,1,0,3,2,93,1,0,0.533236124567513
27,55296,72.8327312030726,91.77261110809114,0,51.099999999999994,1,0,2,1,90,1,0,0.7901957922292231
28,57344,68.25036305811379,91.20879120879121,0,54,1,0,1,0,91,1,0,0.7477597102598935
28,57344,67.88615453574393,91.11111111111111,0,48.14999999999999,1,0,2,1,90,1,0,0.7517754961093119
28,57344,68.21006338602753,91.39784946236558,0,53.14999999999999,1,0,2,1,93,1,0,0.6670763566295838
28,57344,67.81488693841212,91.20879120879121,0,49.099999999999994,1,0,2,1,91,1,0,0.7734701510574458
28,57344,67.6030822015471,91.11111111111111,0,52.1,1,0,2,1,90,1,0,0.6361524212889051
29,59392,67.22525517257412,91.01123595505618,0,53.099999999999994,1,0,2,1,89,1,0,0.6757702157725629
29,59392,67.05965911969543,90.97444622412972,0,56,1,0,1,0,92,1,0,0.6830895519695599
29,59392,67.80631991696882,91.20879120879121,0,52.1,1,0,2,1,91,1,0,0.7873227773981297
29,59392,67.90209967319085,90.9977966028711,0,56.099999999999994,1,0,2,1,92,1,0,0.6272656155904698
29,59392,68.48473502943914,90.8451481660207,0,51.8655,1,0,4,3,90,0,0,0.5597720255006869
30,61440,67.65987566955711,91.30434782608695,0,53.294999999999995,1,0,3,2,92,1,0,0.49245264416702583
30,61440,68.27131795386474,91.39784946236558,0,53.14999999999999,1,0,2,1,93,1,0,0.5196816476949003
30,61440,68.68388625266759,91.30434782608695,0,51.394999999999996,1,0,3,2,92,1,0,0.5845467650683628
30,61440,67.96210950261421,91.01123595505618,0,51.099999999999994,1,0,2,1,89,1,0,0.5783989299436171
30,61440,67.87493145869423,91.66666666666667,0,59,1,0,1,0,96,1,0,0.31124462925228835
31,63488,70.34585064963291,91.49021581599587,0,58.489999999999995,1,0,3,2,95,1,0,0.2140147870591142
31,63488,69.89104265069707,91.34003336125232,0,58.099999999999994,1,0,2,1,94,1,0,0.3949547523261714
31,63488,70.66131010651588,91.57890019317468,0,57.15,1,0,2,1,96,1,0,0.3006516215134864
31,63488,70.22296403078957,91.33999347686768,0,57.15,1,0,2,1,94,1,0,0.37477041489368507
31,63488,69.02030468918383,91.57886505126953,0,57.1,1,0,2,1,96,1,0,0.3627864355893545
32,65536,68.02856171939601,91.48936170212765,0,53.099999999999994,1,0,2,1,94,1,0,0.6004712575553894
32,65536,69.60890594281648,91.57894736842105,0,57.199999999999996,1,0,2,1,95,1,0,0.3474746858435059
32,65536,72.71185756350557,91.66666666666667,0,58.64249999999999,1,0,3,2,96,1,0,0.16668872137335575
32,65536,70.38336971872731,91.57894736842105,0,57,1,0,1,0,95,1,0,0.43998890133636
32,65536,68.6383592329689,91.75257731958763,0,61.099999999999994,1,0,2,1,97,1,0,0.24353003810491802
33,67584,69.27966989968952,91.57894736842105,0,56.099999999999994,1,0,2,1,95,1,0,0.40967399930711723
33,67584,68.8840854608891,91.83673469387755,0,59.099999999999994,1,0,2,1,98,1,0,0.2891951739067239
33,67584,70.38314340930236,91.57894736842105,0,57.15,1,0,2,1,95,1,0,0.4252743229452507
