Step #,Left Speed,Right Speed,Collision,#Stps to red,#Red found,#Red lost,#Red captured,#Red uncaptured,#Stps to green,#Green found,#Green lost,Mean reward
51200,69.47171200445155,96.22454069321975,14,41.3135,1,0,4,3,0,0,0,-0.5562587214904136
51200,70.0622597898473,86.07005781959742,14,53.59227444062499,1,0,8,7,233,1,0,0.7125074203689585
53248,63.67092204745859,92.55525852786377,2,50.371818412339834,1,0,10,9,250,1,0,0.9576875507602687
53248,42.16211215243675,49.6048643020913,2,47.23512249854765,1,0,12,11,137,1,0,0.5639355401169265
53248,28.30571074737236,32.80720927286893,0,23,1,0,1,0,94,3,2,0.7102369208648689
55296,45.36329674010631,96.37172971852124,1,37.69601937499999,1,0,6,5,0,0,0,0.8447976414395125
55296,22.648564307019114,25.058591295965016,1,21.395,1,0,3,2,73,3,1,0.6452780568224362
55296,25.831316836411133,30.246769834775478,1,27.127499999999998,1,0,3,2,88,3,3,0.6022285668359713
57344,47.850274736993015,56.964274402707815,5,57.65326517284205,1,0,12,12,156,1,0,0.45540733868695
57344,68.0490779603133,96.05774729716359,6,72.49185827912581,1,0,13,12,0,1,0,0.5554753397524737
57344,43.51099382474786,50.79583818878746,3,42.238666885742184,1,0,9,9,140,6,5,0.5642164870555667
59392,43.07770055893343,56.226330157369375,5,37.790493749999996,1,0,5,4,153,2,0,0.776647732036778
59392,52.2963873896515,58.91893209773116,11,39.62277087499999,2,1,7,6,173,2,0,0.42483310273474345
59392,46.93630295514595,51.574107829947025,2,32.666323501562495,1,0,8,7,142,2,1,0.8000596635547119
61440,60.13161559239961,81.86915857804706,6,73.16264900223877,1,0,12,11,221,6,7,0.8420336319606152
61440,23.332549093174748,26.467597763985395,1,22.450249999999997,1,0,4,3,77,3,3,0.5510196992729371
61440,57.86661037709564,71.87921548029408,6,65.88475623729315,1,0,12,11,197,2,1,0.7635890265807426
63488,46.73830093233846,59.71627670805901,2,29.8925,1,0,3,2,163,1,0,0.9648515366119645
63488,31.508337758714333,36.89456703141332,0,24.294999999999998,1,0,3,3,104,2,3,0.5730972549337995
63488,68.6961698171217,84.67884075362235,4,49.24958975234375,1,0,8,7,226,3,2,1.1154629425449651
65536,21.214628432062455,23.6839537974447,0,25.099999999999998,1,0,2,2,72,2,1,0.5362672538210822
65536,26.99281099194195,31.883531421772204,1,26.828356249999995,1,0,5,4,92,2,0,0.6743595708701968
65536,24.727316401549615,28.3103657187894,0,31,1,0,1,0,82,2,1,0.6325215218260334
67584,36.9925310369581,67.93289494235069,2,41.584999999999994,1,0,3,3,184,1,0,0.8741296540591823
67584,22.46401441807393,27.651669696206227,0,34.5112125,1,0,5,4,81,1,0,0.5931061139637591
67584,34.3314656696748,66.88233728855266,1,46.228617064843746,1,0,8,7,184,2,1,0.85383767519043
69632,24.097149629960768,24.569917417829856,1,38.49999999999999,2,1,2,1,87,1,0,0.6013115198707618
69632,37.22630234551616,42.46603527426487,0,32.53125905512304,1,0,10,9,120,1,1,0.6284250184190578
69632,18.55388624535408,23.522800754290074,1,26.299999999999997,1,0,2,1,73,1,0,0.6212721925454341
71680,46.18864249205217,96.21566110872664,4,68.35914525285156,1,0,9,8,0,0,0,-4.112315789779652
71680,23.660999073763378,52.521433075889945,0,16,1,0,1,0,139,2,1,-0.6330731282301496
71680,41.57977842260152,56.51921352837235,0,30.273243172403713,1,0,12,11,150,1,1,-0.9551454156962094
73728,25.001159129897133,54.309740965254605,0,14.1,1,0,2,1,144,3,2,-0.6127542659894081
73728,48.27429373981431,97.40113202133216,0,22.8,1,0,2,1,0,0,0,-3.2237468638290454
73728,30.01050963648595,59.75838488666341,1,21.5,1,0,2,1,158,1,0,-0.905533045276077
75776,23.502177544287406,31.74152902502101,3,26.141181270195315,1,0,9,9,87,3,1,-0.13308653924652014
75776,27.63354933122173,58.47577577224001,0,34.967349999999996,1,0,5,4,156,0,0,-1.0195241603967684
75776,35.67008683749009,35.30006850705831,2,26.508250673437495,2,1,8,7,115,3,2,0.29869635605482414
77824,39.97171832015738,69.20246187946759,6,75.44235740754101,2,1,10,9,201,1,0,-1.9109307391446206
77824,18.920930434251204,56.92391579505056,2,34.426537499999995,1,0,5,4,150,1,0,-0.7916930619177083
77824,38.54164189542644,95.90143550303765,0,60.2711859375,1,0,6,5,254,1,0,-2.406827478996461
79872,49.65036560606677,97.47274733308586,0,36.8525,1,0,3,2,0,0,0,-2.210629448948469
79872,46.40842431981582,83.96810729755089,1,37.390875,1,0,4,3,220,2,1,-0.8421049073458191
79872,23.85484459809959,45.58309190906584,0,17.9,1,0,2,1,121,1,0,0.2176246965593256
81920,54.75319838733412,98.0724721448496,0,15,1,0,1,0,0,1,0,-1.7488076223815117
81920,57.470980333164334,96.99793182080612,7,95.3608600852415,1,0,11,10,254,0,0,-1.6292406568847713
81920,22.559324325993657,25.26811422139872,2,24.009325,1,0,5,4,73,3,2,0.5092796596466407
83968,61.201513005653396,96.7198979225941,10,97.41157853726432,1,0,22,21,0,0,0,-3.035827921209453
83968,24.64327726047486,38.51763936690986,3,18.965,1,0,3,2,103,4,3,0.16550056789092826
83968,39.006938197417185,61.714863614179194,6,45.700374052193354,1,0,10,10,164,2,1,-0.8114957535456035
86016,43.51267759921029,60.40998513344675,2,48.359290248320306,1,0,9,8,159,0,0,-0.5948422404030667
86016,17.094949370948598,16.982541419565678,0,14,1,0,1,0,48,1,0,0.8588688404348901
86016,17.30902050039731,18.568642949685454,2,17.611297173437496,1,0,8,7,52,2,0,0.6424198091390931
88064,17.41050956188701,18.40989355405327,1,15.596237499999999,1,0,5,4,52,1,0,0.6897394891761222
88064,19.83360118465498,21.31885508133564,0,21.42546875,1,0,5,4,60,2,1,0.6190876291810299
88064,23.134752770420164,26.782703038770705,0,18.785,1,0,3,2,74,1,0,0.6193881031644355
90112,99.88952146377414,-23.741863386385376,0,,0,0,0,0,0,0,0,-5.844629149349778
90112,99.88952146377414,-22.37808737627347,0,,0,0,0,0,0,0,0,-5.968651116473368
90112,99.88952146377414,-22.759220096486388,0,,0,0,0,0,0,0,0,-5.88480912848536
90112,43.32283722469583,60.09952458553016,1,46.452917187500006,1,0,6,5,164,1,0,-0.44975781396794334
90112,31.829028972424567,27.106269216164947,1,40.057500000000005,1,0,3,2,91,1,1,0.2875763917040757
90112,40.51655886869412,44.221618538722396,4,55.30560242187499,1,0,7,6,135,1,0,-0.22070496144516383
